id,listing_url,scrape_id,last_scraped,source,name,host_id,host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
27707367,https://www.airbnb.com/rooms/27707367,2.03E+13,6/21/2025,city scrape,Ruby House 1.2*1.9m床 双人间 独卫,23376488,,,,,t,,,,None,,,,Yau Tsim Mong,Private room in rental unit,Private room,2,1,1 private bath,1,1,$307.00 ,1,1125,1,1,1125,1125,1,1125,,t,14,29,52,126,6/21/2025,76,56,4,126,38,255,78285,8/25/2018,6/4/2025,4.8,4.87,4.86,4.8,4.87,4.83,4.86,,f,15,0,5,10,0.91
5464143,https://www.airbnb.com/rooms/5464143,2.03E+13,6/22/2025,city scrape,5號房@香港萬悅賓館 尖沙咀地鐵口/市中心 高級雙人大床房+獨立浴室,28140685,Angel,within a few hours,98%,84%,f,Tsim Sha Tsui,18,18,"['email', 'phone']",t,t,"TSIM SHA TSUI, Kowloon, Hong Kong",Yau Tsim Mong,Private room in rental unit,Private room,2,1,1 private bath,1,1,$308.00 ,1,1125,1,1,1125,1125,1,1125,,t,30,60,90,90,6/22/2025,175,23,0,90,20,138,42504,5/12/2015,5/14/2025,4.41,4.51,4.54,4.72,4.75,4.77,4.55,,f,18,0,18,0,1.42
1.25E+18,https://www.airbnb.com/rooms/1251963316927351573,2.03E+13,6/21/2025,city scrape,we are pleasure to well come,580902002,Piaget Guest,within an hour,90%,100%,f,Tsim Sha Tsui,2,2,"['email', 'phone']",f,t,,Yau Tsim Mong,Entire guesthouse,Entire home/apt,2,1,1 bath,1,1,$308.00 ,1,365,1,1,365,365,1,365,,t,29,59,89,364,6/21/2025,2,2,0,193,1,12,3696,10/4/2024,2/4/2025,3,3,2.5,3,4,4.5,3,,t,2,1,1,0,0.23
1.40E+18,https://www.airbnb.com/rooms/1398645844186424039,2.03E+13,6/22/2025,city scrape,Single bed magnificent view,528166205,Krishna Devotee,within a few hours,100%,71%,t,Tsim Sha Tsui,5,5,"['email', 'phone']",t,t,,Yau Tsim Mong,Private room in rental unit,Private room,1,0.5,Private half-bath,1,1,$308.00 ,3,365,3,3,365,365,3,365,,t,30,60,90,180,6/22/2025,1,1,0,180,0,6,1848,5/3/2025,5/3/2025,3,3,4,4,5,5,3,,f,3,0,3,0,0.59
25396371,https://www.airbnb.com/rooms/25396371,2.03E+13,6/22/2025,city scrape,New Modern Private Room in TST - 1 Min to MTR!,56949831,Sam,within a few hours,99%,100%,f,Jordan,30,31,"['email', 'phone']",t,t,,Yau Tsim Mong,Private room in hostel,Private room,2,1,1 private bath,1,1,$309.00 ,2,1125,1,2,1125,1125,2,1125,,t,26,52,82,82,6/22/2025,193,29,0,82,27,174,53766,5/29/2018,5/18/2025,4.7,4.85,4.73,4.82,4.81,4.95,4.78,,f,23,0,23,0,2.24
1.03E+18,https://www.airbnb.com/rooms/1033786470034681802,2.03E+13,6/21/2025,city scrape,Balcony SeaView Comfort @ 1 min WC MTR Johnston Rd,4209137,Cherry,within an hour,100%,99%,f,Wan Chai,43,48,"['email', 'phone']",t,t,,Wan Chai,Private room in rental unit,Private room,2,1,1 shared bath,1,1,$309.00 ,1,365,1,28,365,365,9.7,365,,t,4,21,51,155,6/21/2025,12,10,0,155,4,60,18540,2/16/2024,4/5/2025,4.67,4.83,4.58,4.83,5,5,4.92,,t,43,18,25,0,0.73
1.07E+18,https://www.airbnb.com/rooms/1067925633070363684,2.03E+13,6/21/2025,city scrape,灣仔特式房間B,500287327,Free,within an hour,100%,95%,f,Wan Chai,8,36,['phone'],t,t,,Wan Chai,Private room in bed and breakfast,Private room,3,2,2 baths,1,1,$309.00 ,1,365,1,1,365,365,1,365,,t,24,50,80,261,6/21/2025,36,25,2,184,27,150,46350,2/8/2024,6/11/2025,4.5,4.69,4.11,4.64,4.83,4.81,4.53,,f,7,0,7,0,2.16
1.28E+18,https://www.airbnb.com/rooms/1278007490022570115,2.03E+13,6/22/2025,city scrape,Standard studio Room w/RoofTop near LKF central,652147871,Alvin,within an hour,100%,100%,t,Central,2,2,"['email', 'phone']",t,t,,Central & Western,Private room in rental unit,Private room,2,0.5,Private half-bath,1,1,$309.00 ,1,365,1,5,365,365,1.7,365,,t,30,60,90,306,6/22/2025,1,1,0,162,0,6,1854,4/23/2025,4/23/2025,5,5,5,5,5,5,4,,t,2,1,1,0,0.49
1.32E+18,https://www.airbnb.com/rooms/1317373645558032370,2.03E+13,6/22/2025,city scrape,市中心學生公寓（私人洗手間）,27207815,Jan,within a day,100%,73%,t,Yau Ma Tei,6,8,"['email', 'phone']",t,t,,Yau Tsim Mong,Private room in rental unit,Private room,1,1,1 private bath,1,1,$309.00 ,5,365,5,5,365,365,5,365,,t,30,60,90,365,6/22/2025,1,1,0,193,0,10,3090,2/5/2025,2/5/2025,5,5,5,5,5,5,5,,f,6,4,2,0,0.22
7057013,https://www.airbnb.com/rooms/7057013,2.03E+13,6/21/2025,city scrape,Private Studio 9 mins MTR from Central,23134064,Dustin,within a few hours,100%,68%,f,Tai Kok Sui,27,84,"['email', 'phone']",t,t,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Entire rental unit,Entire home/apt,1,1,1 bath,1,1,$310.00 ,28,365,28,28,365,365,28,365,,t,0,9,39,314,6/21/2025,1,0,0,143,0,0,0,1/3/2016,1/3/2016,5,5,5,5,5,5,5,,f,26,1,25,0,0.01
13592651,https://www.airbnb.com/rooms/13592651,2.03E+13,6/21/2025,city scrape,Small studio with everything to live in,78548348,Nida,within an hour,100%,100%,f,Sai Ying Pun,1,1,"['email', 'phone']",t,t,,Central & Western,Entire rental unit,Entire home/apt,2,1,1 bath,0,2,$310.00 ,6,1125,6,6,1125,1125,6,1125,,t,2,20,20,144,6/21/2025,156,12,0,20,13,144,44640,7/16/2016,3/29/2025,4.76,4.81,4.72,4.86,4.93,4.93,4.89,,t,1,1,0,0,1.43
18133183,https://www.airbnb.com/rooms/18133183,2.03E+13,6/21/2025,city scrape,"Kowloon Mongkok 1812 Twin Room D, near station",6361579,Man Ching Athena,within an hour,100%,100%,f,Mong Kok,14,16,"['email', 'phone']",t,t,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Private room in rental unit,Private room,2,0,0 shared baths,0,2,$310.00 ,2,11,1,2,1125,1125,2,1125,,t,29,59,89,100,6/21/2025,13,3,0,100,1,18,5580,5/30/2017,3/16/2025,4.85,4.92,4.85,4.77,4.85,4.92,4.85,,t,12,0,12,0,0.13
8.52E+17,https://www.airbnb.com/rooms/852017393920480330,2.03E+13,6/22/2025,city scrape,喜日賓館：8號房間豪華大床（Deluxe bed room )床寬150cm，獨立洗手間，大窗。,51197932,,,,,f,,,,None,,,,Yau Tsim Mong,Private room in rental unit,Private room,2,1,1 private bath,1,1,$310.00 ,2,90,2,2,90,90,2,90,,t,17,40,67,247,6/22/2025,127,58,4,170,55,255,79050,4/2/2023,6/8/2025,4.82,4.9,4.66,4.94,4.98,4.94,4.83,,t,15,0,15,0,4.69
